,GDP,Totale_casi,Totale_deceduti,Totale_guariti,Popolazione,Casi/milione,Deceduti/Guariti %,Deceduti/milione,country,cluster
United Kingdom,-11.5,299600,42054,1293,66650000.00000001,4495.123780945236,3252.436194895591,630.9677419354838,United Kingdom,Cluster 1
France,-11.4,194347,29550,73459,66989999.99999999,2901.1344976862224,40.22652091642958,441.1106135244067,France,Nessun cluster
Italy,-11.3,237500,34405,178526,60360000.0,3934.7249834327367,19.271702721172264,569.9966865473823,Italy,Cluster 1
Spain,-11.1,244328,27136,150376,46940000.0,5205.112910097997,18.045432781826886,578.0997017469109,Spain,Cluster 1
Czechia,-9.6,10111,331,7358,10690000.0,945.8372310570626,4.4985050285403645,30.96351730589336,Czechia,Cluster 2
Portugal,-9.4,37336,1522,23212,10280000.0,3631.9066147859926,6.556953300017232,148.0544747081712,Portugal,Nessun cluster
Slovakia,-9.3,1552,28,1426,5458000.0,284.3532429461341,1.9635343618513323,5.130084279956028,Slovakia,Cluster 2
Belgium,-8.9,60155,9663,16625,11460000.0,5249.12739965096,58.12330827067669,843.1937172774868,Belgium,Nessun cluster
Estonia,-8.4,1975,69,1728,1329000.0,1486.0797592174567,3.9930555555555554,51.918735891647856,Estonia,Cluster 3
Latvia,-8.1,1098,28,875,1920000.0,571.875,3.2,14.583333333333334,Latvia,Cluster 3
Lithuania,-8.1,1776,76,1441,2794000.0,635.6478167501789,5.27411519777932,27.20114531138153,Lithuania,Cluster 3
Netherlands,-8.0,49295,6089,186,17280000.0,2852.7199074074074,3273.6559139784945,352.37268518518516,Netherlands,Cluster 4
Hungary,-8.0,4077,565,2516,9773000.0,417.16975340223064,22.456279809220987,57.81234012074082,Hungary,Cluster 3
Greece,-8.0,3148,185,1374,10720000.0,293.65671641791045,13.46433770014556,17.257462686567166,Greece,Cluster 3
Finland,-7.9,7112,326,6200,5518000.0,1288.872779992751,5.258064516129032,59.079376585719466,Finland,Cluster 3
Slovenia,-7.8,1499,109,1359,2081000.0,720.3267659778952,8.020603384841795,52.378664103796254,Slovenia,Cluster 3
Switzerland,-7.7,31154,1954,28900,8570000.0,3635.2392065344225,6.7612456747404845,228.0046674445741,Switzerland,Cluster 4
Poland,-7.4,30195,1272,14654,37970000.0,795.2330787463786,8.68022382967108,33.50013168290756,Poland,Cluster 3
Ireland,-6.8,25334,1709,22698,4900000.0,5170.2040816326535,7.529297735483302,348.7755102040816,Ireland,Cluster 5
Sweden,-6.7,53323,4939,0,10230000.0,5212.414467253177,inf,482.7956989247312,Sweden,Cluster 5
Germany,-6.6,188252,8820,172842,83020000.0,2267.5499879547096,5.102926372062346,106.23946037099495,Germany,6
Luxembourg,-6.5,4075,110,3933,613894.0,6637.95378355221,2.796847190439868,179.18402851306578,Luxembourg,Nessun cluster
Austria,-6.2,17189,681,16089,8859000.0,1940.286714076081,4.23270557523774,76.87097866576363,Austria,6
Norway,-6.0,8660,242,8138,5368000.0,1613.263785394933,2.9737036126812484,45.08196721311475,Norway,6
Denmark,-5.8,12450,598,11325,5806000.0,2144.3334481570787,5.280353200883002,102.99689975887014,Denmark,6
