Data,sardegna
2020-02-28,1.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,5.02
2020-03-08,4.06
2020-03-09,6.63
2020-03-10,4.47
2020-03-11,6.0
2020-03-12,4.17
2020-03-13,3.05
2020-03-14,3.55
2020-03-15,1.8
2020-03-16,3.18
2020-03-17,3.46
2020-03-18,3.98
2020-03-19,3.14
2020-03-20,3.21
2020-03-21,3.57
2020-03-22,3.96
2020-03-23,2.57
2020-03-24,1.64
2020-03-25,1.62
2020-03-26,1.86
2020-03-27,1.93
2020-03-28,1.78
2020-03-29,1.93
2020-03-30,1.75
2020-03-31,1.75
2020-04-01,1.43
2020-04-02,1.53
2020-04-03,1.45
2020-04-04,1.44
2020-04-05,1.49
2020-04-06,1.36
2020-04-07,1.32
2020-04-08,1.16
2020-04-09,1.1
2020-04-10,1.17
2020-04-11,1.22
2020-04-12,1.19
2020-04-13,1.1
2020-04-14,1.14
2020-04-15,1.04
2020-04-16,1.0
