Data,R0
2020-02-28,4.29
2020-02-29,4.06
2020-03-01,4.5
2020-03-02,3.89
2020-03-03,3.56
2020-03-04,3.55
2020-03-05,2.8
2020-03-06,2.96
2020-03-07,2.88
2020-03-08,3.1
2020-03-09,3.19
2020-03-10,3.34
2020-03-11,2.85
2020-03-12,2.72
2020-03-13,2.56
2020-03-14,2.88
2020-03-15,2.7
2020-03-16,2.54
2020-03-17,2.43
2020-03-18,2.29
2020-03-19,2.16
2020-03-20,2.23
2020-03-21,2.22
2020-03-22,2.31
2020-03-23,2.14
2020-03-24,1.93
2020-03-25,1.78
2020-03-26,1.71
2020-03-27,1.7
2020-03-28,1.66
2020-03-29,1.67
2020-03-30,1.59
2020-03-31,1.41
2020-04-01,1.36
2020-04-02,1.29
2020-04-03,1.32
2020-04-04,1.34
2020-04-05,1.3
2020-04-06,1.3
2020-04-07,1.28
2020-04-08,1.22
2020-04-09,1.14
2020-04-10,1.12
2020-04-11,1.16
2020-04-12,1.18
2020-04-13,1.17
2020-04-14,1.18
2020-04-15,1.15
2020-04-16,1.11
2020-04-17,1.09
2020-04-18,1.1
2020-04-19,1.08
2020-04-20,1.05
2020-04-21,1.04
2020-04-22,1.01
2020-04-23,0.97
2020-04-24,0.96
